id,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,ExpectedCharges,ChargeDifference,Household_Score,high_risk,no_streaming_services,no_services,is_vulnerable
594255,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.4,2723.65,2643.2000000000003,80.44999999999982,1,0,0,3,0
594256,Male,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.0,921.4,980.0,-58.60000000000002,1,0,0,0,0
594257,Male,0,No,No,1,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,35.0,35.0,35.0,0.0,0,0,2,2,0
594258,Male,0,No,No,8,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,55.5,651.45,444.0,207.45000000000005,0,0,2,2,0
594259,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),85.6,5916.95,6163.2,-246.25,2,0,0,0,0
594260,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,181.1,178.9,2.1999999999999886,0,0,0,4,1
594261,Male,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),95.65,3343.15,3730.3500000000004,-387.2000000000003,0,0,1,1,0
594262,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.7,69.7,69.7,0.0,0,0,2,4,1
594263,Female,0,Yes,No,28,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),64.75,1857.75,1813.0,44.75,1,0,2,1,0
594264,Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.9,918.55,899.1,19.449999999999932,0,0,0,2,0
594265,Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.1,805.55,878.5,-72.95000000000005,0,0,0,0,0
594266,Male,0,No,No,15,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.3,636.55,379.5,257.04999999999995,0,0,2,4,1
594267,Male,0,Yes,No,72,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),78.85,5265.5,5677.2,-411.6999999999998,1,0,0,1,0
594268,Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,59.1,4378.8,4018.8,360.0,2,0,2,1,0
